device,model,Weight Packing,batch size,tokens_per_second,run_time_seconds,Avg Prefill Time (s),Max Prefill Time (s),Min Prefill Time (s),Avg Single Deocde Time (s),Min Single Deocde Time (s),Max Single Deocde Time (s),Avg Deocde Time For 31 Tokens (s),Max Deocde Time For 31 Tokens (s),Min Deocde Time For 31 Tokens (s)
Tesla V100-SXM2-32GB,ridger/MMfreeLM-2.7B,True,4,19.09204158323833,6.733177280426025,0.19077119827270508,0.24900054931640625,0.1695115566253662,0.19000461024622764,0.1618213653564453,0.2719426155090332,5.890142917633057,7.133756160736084,5.194854736328125
Tesla V100-SXM2-32GB,ridger/MMfreeLM-2.7B,True,2,11.525532670360803,5.555942821502685,0.17866206169128418,0.198655366897583,0.17005324363708496,0.17354083830310452,0.16132760047912598,0.2283647060394287,5.37976598739624,5.567762851715088,5.209275960922241
Tesla V100-SXM2-32GB,ridger/MMfreeLM-2.7B,True,1,5.789876268674204,5.527674674987793,0.17488431930541992,0.18271231651306152,0.16710829734802246,0.16788407141162504,0.15672802925109863,0.19567513465881348,5.204406213760376,5.401456594467163,5.08599328994751
Tesla V100-SXM2-32GB,ridger/MMfreeLM-2.7B,False,2048,2959.5432786919105,22.14406476020813,16.008611154556274,16.02749752998352,15.992745637893677,0.16543375445950415,0.16243696212768555,0.2131645679473877,5.128446388244629,5.258919715881348,5.083549499511719
Tesla V100-SXM2-32GB,ridger/MMfreeLM-2.7B,False,1024,2541.7155861027813,12.892193794250488,8.022651290893554,8.035965919494629,8.007454872131348,0.14174452135639806,0.13093209266662598,0.1691122055053711,4.39408016204834,4.634496212005615,4.209518909454346
Tesla V100-SXM2-32GB,ridger/MMfreeLM-2.7B,False,512,1900.9632945026917,8.618910455703736,3.983771276473999,3.98830509185791,3.9811203479766846,0.13508744547444004,0.12595033645629883,0.15457510948181152,4.187710809707641,4.367997646331787,4.033967971801758
Tesla V100-SXM2-32GB,ridger/MMfreeLM-2.7B,False,256,1285.0798296492171,6.374873685836792,1.9940986633300781,2.0072107315063477,1.9821043014526367,0.13815109652857627,0.127885103225708,0.16310548782348633,4.282683992385865,4.391677141189575,4.122864246368408
Tesla V100-SXM2-32GB,ridger/MMfreeLM-2.7B,False,128,744.1077662292724,5.507081413269043,1.0028748512268066,1.009052038192749,0.9961516857147217,0.13941812822895666,0.12898850440979004,0.1610112190246582,4.321961975097656,4.4837541580200195,4.2028868198394775
Tesla V100-SXM2-32GB,ridger/MMfreeLM-2.7B,False,64,423.2358652485552,4.840758609771728,0.5076378345489502,0.5092101097106934,0.5037055015563965,0.13929491658364573,0.12393450736999512,0.16454768180847168,4.318142414093018,4.529332637786865,4.177788734436035
Tesla V100-SXM2-32GB,ridger/MMfreeLM-2.7B,False,32,230.90073404285215,4.4386273384094235,0.2652698516845703,0.2681756019592285,0.26389598846435547,0.13159588075453235,0.12403154373168945,0.1472313404083252,4.079472303390503,4.140915870666504,4.019698858261108
Tesla V100-SXM2-32GB,ridger/MMfreeLM-2.7B,False,16,117.86376348681472,4.3452424049377445,0.1505399227142334,0.17821931838989258,0.13882184028625488,0.13284047034478957,0.1260356903076172,0.1511850357055664,4.118054580688477,4.2384748458862305,4.050862789154053
Tesla V100-SXM2-32GB,ridger/MMfreeLM-2.7B,False,8,59.48851203762382,4.303492784500122,0.1348580837249756,0.138427734375,0.13193345069885254,0.13229089398537913,0.12420845031738281,0.14736628532409668,4.101017713546753,4.2834632396698,4.035854339599609
Tesla V100-SXM2-32GB,ridger/MMfreeLM-2.7B,False,4,29.737709260787682,4.305592441558838,0.1414722442626953,0.15195178985595703,0.13379192352294922,0.13934902683381112,0.12805771827697754,0.16742944717407227,4.319819831848145,4.454146146774292,4.122721195220947
Tesla V100-SXM2-32GB,ridger/MMfreeLM-2.7B,False,2,14.58271529512967,4.389155578613281,0.14103059768676757,0.1624608039855957,0.13266539573669434,0.13704911816504695,0.12486672401428223,0.18621611595153809,4.248522663116455,4.34555983543396,4.139907598495483
Tesla V100-SXM2-32GB,ridger/MMfreeLM-2.7B,False,1,7.3997611663991005,4.327102947235107,0.13391222953796386,0.13557696342468262,0.13158869743347168,0.13223655916029406,0.12578511238098145,0.16108107566833496,4.099333333969116,4.197227716445923,3.9940602779388428



