-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     161.763us         0.01%     161.763us       5.218us           0 b           0 b           0 b           0 b            31            --  
                                           Buffer Flush         0.07%       1.936ms         0.08%       2.024ms      91.998us     156.803us         0.01%     156.803us       7.127us           0 b           0 b     185.89 Mb     185.73 Mb            22            --  
                                     aten::exponential_         0.01%     231.092us         0.02%     415.462us      13.402us     155.073us         0.01%     155.073us       5.002us           0 b           0 b           0 b           0 b            31            --  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us     155.073us         0.01%     155.073us       5.002us           0 b           0 b           0 b           0 b            31            --  
at::native::(anonymous namespace)::fill_index_and_se...         0.00%       0.000us         0.00%       0.000us       0.000us     148.961us         0.01%     148.961us       4.805us           0 b           0 b           0 b           0 b            31            --  
void at_cuda_detail::cub::DeviceRadixSortHistogramKe...         0.00%       0.000us         0.00%       0.000us       0.000us     145.568us         0.01%     145.568us       4.696us           0 b           0 b           0 b           0 b            31            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     136.479us         0.01%     136.479us       4.403us           0 b           0 b           0 b           0 b            31            --  
                                               aten::to         0.14%       3.729ms         0.21%       5.697ms       0.236us       0.000us         0.00%     126.977us       0.005us           0 b           0 b     121.10 Mb           0 b         24094            --  
                                         aten::_to_copy         0.01%     158.350us         0.07%       1.967ms      57.859us       0.000us         0.00%     126.977us       3.735us           0 b           0 b     121.10 Mb           0 b            34            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     123.681us         0.01%     123.681us       3.990us           0 b           0 b           0 b           0 b            31            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     120.002us         0.01%     120.002us       3.871us           0 b           0 b           0 b           0 b            31            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     117.410us         0.01%     117.410us       1.249us           0 b           0 b           0 b           0 b            94            --  
                                        aten::embedding         0.01%     202.218us         0.04%     975.171us      31.457us       0.000us         0.00%     115.166us       3.715us           0 b           0 b       4.84 Mb           0 b            31            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.651s
Self CUDA time total: 1.147s

