-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        aten::embedding         0.01%     138.061us         0.03%     649.875us      29.540us       0.000us         0.00%     595.077us      27.049us           0 b           0 b     165.00 Mb           0 b            22            --  
                                     aten::index_select         0.01%     240.553us         0.02%     447.757us      20.353us     595.077us         0.04%     595.077us      27.049us           0 b           0 b     165.00 Mb           0 b            22            --  
void at::native::(anonymous namespace)::indexSelectL...         0.00%       0.000us         0.00%       0.000us       0.000us     595.077us         0.04%     595.077us      27.049us           0 b           0 b           0 b           0 b            22            --  
void at::native::(anonymous namespace)::cunn_Spatial...         0.00%       0.000us         0.00%       0.000us       0.000us     553.507us         0.04%     553.507us      25.159us           0 b           0 b           0 b           0 b            22            --  
void at::native::mbtopk::computeBlockwiseWithinKCoun...         0.00%       0.000us         0.00%       0.000us       0.000us     496.867us         0.04%     496.867us       5.646us           0 b           0 b           0 b           0 b            88            --  
                                         cuLaunchKernel         1.99%      41.069ms         2.00%      41.359ms       4.870us       0.000us         0.00%     485.539us       0.057us           0 b           0 b           0 b           0 b          8492            --  
                                            aten::fill_         0.02%     504.452us         0.06%       1.153ms       7.949us     322.401us         0.02%     327.330us       2.257us           0 b           0 b           0 b           0 b           145            --  
                                             aten::isin         0.02%     317.563us         0.15%       3.000ms     130.454us       0.000us         0.00%     288.926us      12.562us           0 b           0 b      22.50 Kb     -22.50 Kb            23            --  
                                           Buffer Flush         0.06%       1.255ms         0.06%       1.277ms      79.789us     284.290us         0.02%     284.290us      17.768us           0 b           0 b     -64.75 Mb     -64.75 Mb            16            --  
void at::native::radixSortKVInPlace<2, -1, 32, 4, fl...         0.00%       0.000us         0.00%       0.000us       0.000us     253.730us         0.02%     253.730us      11.533us           0 b           0 b           0 b           0 b            22            --  
                                        cudaMemcpyAsync         0.59%      12.268ms         0.67%      13.768ms       8.764us       0.000us         0.00%     237.474us       0.151us           0 b           0 b           0 b           0 b          1571            --  
                                              aten::any         0.02%     388.551us         0.03%     611.265us      13.006us     199.489us         0.01%     204.513us       4.351us           0 b           0 b      34.50 Kb      34.50 Kb            47            --  
void at::native::tensor_kernel_scan_outer_dim<c10::H...         0.00%       0.000us         0.00%       0.000us       0.000us     202.271us         0.01%     202.271us       9.194us           0 b           0 b           0 b           0 b            22            --  
                                               aten::eq         0.02%     484.225us         0.05%     941.672us      13.848us     179.072us         0.01%     184.959us       2.720us           0 b           0 b      56.50 Kb      56.50 Kb            68            --  
void at_cuda_detail::cub::DeviceScanByKeyKernel<at_c...         0.00%       0.000us         0.00%       0.000us       0.000us     181.664us         0.01%     181.664us       4.129us           0 b           0 b           0 b           0 b            44            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     158.529us         0.01%     158.529us     158.529us           0 b           0 b           0 b           0 b             1            --  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.065s
Self CUDA time total: 1.374s

